Date,Close,High,Low,Open,Volume,date,finbert_mean,article_count
2024-09-10,219.09033203125,220.45398059003196,215.72598515928053,217.90584232481805,51591000,,0.0,
2024-09-11,221.6285400390625,222.05654079085224,216.88063262193214,220.43410202901993,44587100,,0.0,
2024-09-12,221.738037109375,222.51442259643306,218.8017058249269,221.46928361366915,37455600,,0.0,
2024-09-13,221.4692840576172,223.00214343080088,220.8820208371711,222.54428285449177,36766600,,0.0,
2024-09-16,215.3179168701172,216.21374159471785,212.92902562434276,215.5368837592455,59357400,,0.0,
2024-09-17,215.7857208251953,215.8952118613641,213.50633585708556,214.75054527350213,45519300,,0.0,
2024-09-18,219.66766357421875,221.67831024616868,216.5322467283196,216.54221012404864,59894900,,0.0,
2024-09-19,227.8097686767578,228.75538000957175,223.58941994126667,223.94775287051627,66781300,,0.0,
2024-09-20,227.1428680419922,232.01021467188832,226.56555305015522,228.90467282845125,318679900,,0.0,
2024-09-23,225.42088317871094,228.38707413181643,224.7639369712135,226.2868480598011,54146000,,0.0,
2024-09-24,226.31671142578125,228.28755007923567,224.6843092769655,227.59078065470555,43556100,,0.0,
2024-09-25,225.3213348388672,226.23707111110926,222.9822303399746,223.88800321688734,42308700,,0.0,
2024-09-26,226.4660186767578,227.44147457763864,224.36579263659118,226.24703661091274,36636700,,0.0,
2024-09-27,226.73475646972656,228.45675318264773,226.24703611440785,227.40166606122023,34026000,,0.0,
2024-09-30,231.92063903808594,231.92063903808594,228.58615167195362,228.97434440874213,54541900,,0.0,
2024-10-01,225.16209411621094,228.5861456381701,222.70353511874544,228.45675818805825,63285000,,0.0,
2024-10-02,225.72946166992188,226.31672490502262,221.98688498556473,224.84358511910924,32880600,,0.0,
2024-10-03,224.6245880126953,225.75930638603796,222.28548343692833,224.09704443839323,34044200,,0.0,
2024-10-04,225.74935913085938,226.9437971307691,223.09172964492672,226.8442543024003,37245100,,0.0,
2024-10-07,220.6630401611328,224.64451046166124,220.3047072265611,223.4600206171574,39505400,,0.0,
2024-10-08,224.72413635253906,224.93315503301397,222.2158058701156,223.26094483680066,31855700,,0.0,
2024-10-09,228.47666931152344,228.68570318762718,223.78849648056692,224.1866374402548,33591100,,0.0,
2024-10-10,227.97897338867188,228.43684913724616,226.11764095959848,226.72481576308653,28183500,,0.0,
2024-10-11,226.4958953857422,228.34727968813561,226.28686151162026,228.23778864704394,31759200,,0.0,
2024-10-14,230.228515625,230.65651637799863,227.54102629778745,227.64055393917852,39882100,,0.0,
2024-10-15,232.76670837402344,236.3898456598821,231.29355345996072,232.52781469355565,64751400,,0.0,
2024-10-16,230.70628356933594,231.0447048824563,228.7752681420796,230.52712470524975,34082200,,0.0,
2024-10-17,231.07456970214844,232.76670668063704,229.4521309302649,232.348638945834,32993800,,0.0,
2024-10-18,233.91136169433594,235.0858880500012,232.92594240501305,235.0858880500012,46431500,,0.0,
2024-10-21,235.38450622558594,235.75280253487685,233.36391138062547,233.36391138062547,36254500,,0.0,
2024-10-22,234.7673797607422,235.125712669187,231.52248717012162,232.80650456565562,38846600,,0.0,
2024-10-23,229.69100952148438,234.05072423456664,226.7049068825192,232.99563706556216,52287000,,0.0,
2024-10-24,229.50189208984375,229.75073396519565,227.35189464165862,228.91461372105516,31109500,,0.0,
2024-10-25,230.3380126953125,232.13962556438537,228.5065400142299,228.6757506783198,38802300,,0.0,
2024-10-28,232.3187713623047,233.64261197661628,231.47271808946843,232.23915532682838,36087100,,0.0,
2024-10-29,232.5875244140625,233.2444706163013,231.24378738741356,232.0201728307493,35417200,,0.0,
2024-10-30,229.03407287597656,232.38845656475567,228.48661770128336,231.5324398883544,47070900,,0.0,
2024-10-31,224.86346435546875,228.765302938299,224.32595742693846,228.27756741990697,64370100,,0.0,
2024-11-01,221.87738037109375,224.30607958110733,219.2496106921502,219.9463649274566,65276700,,0.0,
2024-11-04,220.98155212402344,221.75793762543637,218.69221882853125,219.9662881225475,44944500,,0.0,
2024-11-05,222.4148712158203,222.91255498009295,220.11557465497725,220.7725208689619,28111300,,0.0,
2024-11-06,221.68826293945312,225.02275032206146,220.16535179621147,221.5787719009408,54561100,,0.0,
2024-11-07,226.42620849609375,226.82436463330757,223.52970043689453,223.5894200604507,42137700,,0.0,
2024-11-08,226.15716552734375,227.8511489598711,225.60910803907555,226.366414165256,38328800,,0.0,
2024-11-11,223.4368133544922,224.90161465065876,220.7164746065314,224.20409384410638,42005600,,0.0,
2024-11-12,223.4368133544922,224.79200315214243,222.5698957238352,223.75568869738083,40398300,,0.0,
2024-11-13,224.3236541748047,225.84824072641777,221.97200184604,223.2175800878685,48566200,,0.0,
2024-11-14,227.41270446777344,228.06039910056816,224.20409355692922,224.22402706703753,44923900,,0.0,
2024-11-15,224.2041015625,226.11730807125568,223.47668806811174,225.59914322363005,47923700,,0.0,
2024-11-18,227.2134246826172,228.9273417095955,224.37349996104592,224.4532188000698,44633700,,0.0,
2024-11-19,227.4724884033203,229.34584301691135,225.8582238051146,226.17708394083317,36211800,,0.0,
2024-11-20,228.18994140625,229.11664435033194,225.0909420304879,227.25326410482543,35169600,,0.0,
2024-11-21,227.71165466308594,229.3458528412815,224.91159698015457,228.07038183414417,42108300,,0.0,
2024-11-22,229.05686950683594,229.90386885981255,227.2532745036032,227.2532745036032,38168300,,0.0,
2024-11-25,232.04624938964844,232.42491005721112,228.92733167542056,230.64124862727573,90152800,,0.0,
2024-11-26,234.22850036621094,234.73670603206307,232.50462429580293,232.50462429580293,45986200,,0.0,
